Exp,Year,Month,Plot,Strip,Substrip,Date,Species,NumSp,SpNum,FgNum,Fgset,C3,C4,Forb,Legume,Woody,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Sornu,Biomass (g/m2),Note
120,1996,7,50, , ,7/30/1996,Miscellaneous sp.,8,9,4,3FLW,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,131.467, 
120,1996,7,53, , ,7/30/1996,Miscellaneous sp.,4,4,4,34LW,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,143.875, 
120,1996,7,56, , ,7/30/1996,Miscellaneous sp.,2,2,2,4L,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,93.617, 
120,1996,7,57, , ,7/30/1996,Miscellaneous sp.,8,10,4,34FL,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,252.742, 
120,1996,7,58, , ,7/30/1996,Miscellaneous grasses,4,5,3,34F,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,11.983, 
120,1996,7,58, , ,7/30/1996,Miscellaneous sp.,4,5,3,34F,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,118.058, 
120,1996,7,62, , ,7/30/1996,Miscellaneous sp.,4,5,3,3LW,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,196.992, 
120,1996,7,67, , ,7/31/1996,Miscellaneous sp.,8,10,5,34FLW,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,227.558, 
120,1996,7,68, , ,7/31/1996,Miscellaneous grasses,16,17,5,34FLW,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.267, 
120,1996,7,68, , ,7/31/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,210.175, 
120,1996,7,70, , ,7/31/1996,Miscellaneous sp.,4,4,3,4FL,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,488.733, 
120,1996,7,73, , ,7/31/1996,Miscellaneous grasses,2,3,2,FW,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.892, 
120,1996,7,73, , ,7/31/1996,Miscellaneous sp.,2,3,2,FW,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,90.517, 
120,1996,7,74, , ,7/31/1996,Miscellaneous grasses,8,9,5,34FLW,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3.442, 
120,1996,7,74, , ,7/31/1996,Miscellaneous sp.,8,9,5,34FLW,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,157.833, 
120,1996,7,75, , ,7/31/1996,Miscellaneous sp.,2,2,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,122.4, 
120,1996,7,81, , ,7/31/1996,Miscellaneous sp.,8,8,4,34FL,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,98.967, 
120,1996,7,82, , ,7/31/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,360.275, 
120,1996,7,87, , ,7/31/1996,Miscellaneous sp.,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109.017, 
120,1996,7,89, , ,7/31/1996,Miscellaneous grasses,16,16,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1.5, 
120,1996,7,89, , ,7/31/1996,Miscellaneous sp.,16,16,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,157.867, 
120,1996,7,92, , ,7/31/1996,Miscellaneous sp.,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128.192, 
120,1996,7,93, , ,7/31/1996,Miscellaneous grasses,4,4,2,3L,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5.867, 
120,1996,7,93, , ,7/31/1996,Miscellaneous sp.,4,4,2,3L,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,81.133, 
120,1996,7,94, , ,7/31/1996,Miscellaneous sp.,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.05, 
120,1996,7,98, , ,7/31/1996,Miscellaneous sp.,8,8,5,34FLW,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,160.025, 
120,1996,7,104, , ,7/31/1996,Miscellaneous grasses,8,8,5,34FLW,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,4.6, 
120,1996,7,104, , ,7/31/1996,Miscellaneous sp.,8,8,5,34FLW,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,130.942, 
120,1996,7,107, , ,7/31/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,113.008, 
120,1996,7,108, , ,7/31/1996,Miscellaneous grasses,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.95, 
120,1996,7,108, , ,7/31/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,100.492, 
120,1996,7,110, , ,7/31/1996,Miscellaneous sp.,4,4,3,34L,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,170.533, 
120,1996,7,111, , ,7/31/1996,Miscellaneous sp.,8,10,4,3FLW,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,34.2, 
120,1996,7,115, , ,7/31/1996,Miscellaneous grasses,8,9,4,34FW,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,11.833, 
120,1996,7,115, , ,7/31/1996,Miscellaneous sp.,8,9,4,34FW,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,55.875, 
120,1996,7,117, , ,7/31/1996,Miscellaneous grasses,2,2,2,FL,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.083, 
120,1996,7,117, , ,7/31/1996,Miscellaneous sp.,2,2,2,FL,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,92.042, 
120,1996,7,118, , ,7/31/1996,Miscellaneous grasses,8,9,5,34FLW,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.475, 
120,1996,7,118, , ,7/31/1996,Miscellaneous sp.,8,9,5,34FLW,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,81.267, 
120,1996,7,125, , ,7/31/1996,Miscellaneous sp.,2,2,2,4L,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,126.575, 
120,1996,7,126, , ,7/31/1996,Miscellaneous sp.,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.225, 
120,1996,7,127, , ,7/31/1996,Miscellaneous grasses,2,2,2,LW,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.367, 
120,1996,7,127, , ,7/31/1996,Miscellaneous sp.,2,2,2,LW,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71.342, 
120,1996,7,129, , ,7/31/1996,Miscellaneous sp.,1,1,1,F,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.883, 
120,1996,7,130, , ,7/31/1996,Miscellaneous sp.,8,8,5,34FLW,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,178.825, 
120,1996,7,133, , ,7/31/1996,Miscellaneous sp.,4,6,3,4FL,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,171.433, 
120,1996,7,135, , ,7/31/1996,Miscellaneous sp.,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148.45, 
120,1996,7,136, , ,7/31/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,289.483, 
120,1996,7,137, , ,7/31/1996,Miscellaneous grasses,1,1,1,L,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45, 
120,1996,7,137, , ,7/31/1996,Miscellaneous sp.,1,1,1,L,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.242, 
120,1996,7,138, , ,7/31/1996,Miscellaneous sp.,4,4,2,3F,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,228.317, 
120,1996,7,139, , ,7/31/1996,Miscellaneous sp.,4,4,2,3L,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,323.017, 
120,1996,7,142, , ,7/31/1996,Miscellaneous sp.,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98.242, 
120,1996,7,146, , ,7/31/1996,Miscellaneous sp.,8,9,5,34FLW,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,262.892, 
120,1996,7,149, , ,7/31/1996,Miscellaneous sp.,4,6,4,4FLW,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,203.517, 
120,1996,7,151, , ,08/01/1996,Miscellaneous grasses,1,1,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.092, 
120,1996,7,151, , ,08/01/1996,Miscellaneous sp.,1,1,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233, 
120,1996,7,153, , ,7/31/1996,Miscellaneous sp.,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.133, 
120,1996,7,156, , ,7/31/1996,Miscellaneous grasses,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1.042, 
120,1996,7,156, , ,7/31/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,41.75, 
120,1996,8,157, , ,08/01/1996,Miscellaneous sp.,2,2,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.583, 
120,1996,8,160, , ,08/01/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,52.833, 
120,1996,8,161, , ,08/01/1996,Miscellaneous grasses,1,1,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.058, 
120,1996,8,161, , ,08/01/1996,Miscellaneous sp.,1,1,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
120,1996,8,163, , ,08/01/1996,Miscellaneous sp.,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209.417, 
120,1996,8,164, , ,08/01/1996,Miscellaneous grasses,16,17,5,34FLW,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5.175, 
120,1996,8,164, , ,08/01/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,137.667, 
120,1996,8,165, , ,08/01/1996,Miscellaneous sp.,2,2,2,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,77.592, 
120,1996,8,166, , ,08/01/1996,Miscellaneous sp.,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.975, 
120,1996,8,167, , ,08/01/1996,Miscellaneous sp.,1,1,1,F,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18, 
120,1996,8,168, , ,08/01/1996,Miscellaneous sp.,2,2,2,34,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65.808, 
120,1996,8,169, , ,08/01/1996,Miscellaneous grasses,16,17,5,34FLW,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.017, 
120,1996,8,169, , ,08/01/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,91.417, 
120,1996,8,170, , ,08/01/1996,Miscellaneous grasses,8,10,4,3FLW,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0.492, 
120,1996,8,170, , ,08/01/1996,Miscellaneous sp.,8,10,4,3FLW,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,127.908, 
120,1996,8,171, , ,08/01/1996,Miscellaneous sp.,2,2,2,3L,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,119.433, 
120,1996,8,174, , ,08/01/1996,Miscellaneous grasses,16,17,5,34FLW,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,5.758, 
120,1996,8,174, , ,08/01/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,296.833, 
120,1996,8,175, , ,7/31/1996,Miscellaneous sp.,2,2,2,4L,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,612.717, 
120,1996,8,176, , ,08/01/1996,Miscellaneous grasses,4,4,3,34F,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,53.925, 
120,1996,8,176, , ,08/01/1996,Miscellaneous sp.,4,4,3,34F,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,115.983, 
120,1996,8,177, , ,08/01/1996,Miscellaneous sp.,8,9,5,34FLW,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,197.1, 
120,1996,8,178, , ,08/01/1996,Miscellaneous grasses,8,9,3,34F,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1.375, 
120,1996,8,178, , ,08/01/1996,Miscellaneous sp.,8,9,3,34F,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,451.058, 
120,1996,8,185, , ,08/01/1996,Miscellaneous grasses,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.175, 
120,1996,8,185, , ,08/01/1996,Miscellaneous sp.,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.258, 
120,1996,8,186, , ,08/01/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,280.567, 
120,1996,8,189, , ,08/01/1996,Miscellaneous grasses,2,2,2,4W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.75, 
120,1996,8,189, , ,08/01/1996,Miscellaneous sp.,2,2,2,4W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,140.133, 
120,1996,8,190, , ,08/01/1996,Miscellaneous grasses,4,4,3,FLW,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4.042, 
120,1996,8,190, , ,08/01/1996,Miscellaneous sp.,4,4,3,FLW,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,404.55, 
120,1996,8,193, , ,08/01/1996,Miscellaneous sp.,2,2,2,4L,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,247.692, 
120,1996,8,197, , ,08/01/1996,Miscellaneous grasses,2,2,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.617, 
120,1996,8,197, , ,08/01/1996,Miscellaneous sp.,2,2,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68.508, 
120,1996,8,199, , ,08/01/1996,Miscellaneous sp.,4,4,3,4LW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,618.983, 
120,1996,8,201, , ,08/01/1996,Miscellaneous sp.,4,4,3,4LW,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,339.55, 
120,1996,8,202, , ,08/01/1996,Miscellaneous sp.,16,17,4,34FL,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,622.617, 
120,1996,8,205, , ,08/02/1996,Miscellaneous grasses,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.517, 
120,1996,8,205, , ,08/02/1996,Miscellaneous sp.,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.042, 
120,1996,8,206, , ,08/02/1996,Miscellaneous sp.,8,9,4,34FL,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,248.808, 
120,1996,8,208, , ,08/02/1996,Miscellaneous sp.,8,8,4,34FL,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,249.725, 
120,1996,8,210, , ,08/02/1996,Miscellaneous sp.,8,8,4,34FL,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,238.483, 
120,1996,8,211, , ,08/02/1996,Miscellaneous sp.,2,4,2,FL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65.933, 
120,1996,8,213, , ,08/02/1996,Miscellaneous sp.,8,9,5,34FLW,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,105.992, 
120,1996,8,220, , ,08/02/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,143.3, 
120,1996,8,221, , ,08/02/1996,Miscellaneous grasses,2,2,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.383, 
120,1996,8,221, , ,08/02/1996,Miscellaneous sp.,2,2,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.475, 
120,1996,8,223, , ,08/02/1996,Miscellaneous sp.,4,4,3,3FW,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,55.392, 
120,1996,8,224, , ,08/02/1996,Miscellaneous sp.,2,2,2,4F,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118.533, 
120,1996,8,225, , ,08/02/1996,Miscellaneous sp.,4,4,4,34LW,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,93.1, 
120,1996,8,227, , ,08/02/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,106.592, 
120,1996,8,229, , ,08/02/1996,Miscellaneous sp.,4,4,3,34L,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,102.742, 
120,1996,8,232, , ,08/02/1996,Miscellaneous sp.,8,10,5,34FLW,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,346.933, 
120,1996,8,233, , ,08/02/1996,Miscellaneous grasses,4,4,4,3FLW,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,5.625, 
120,1996,8,233, , ,08/02/1996,Miscellaneous sp.,4,4,4,3FLW,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,45.642, 
120,1996,8,234, , ,08/02/1996,Miscellaneous grasses,2,2,2,3L,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,34.042, 
120,1996,8,234, , ,08/02/1996,Miscellaneous sp.,2,2,2,3L,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,322.708, 
120,1996,8,235, , ,08/02/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,149.142, 
